instname,state,zip,control,medical,hospital,fte_count,tuition,revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,buildings05,equipment05,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE,,
Community College of the Air Force,Alabama,36114-0011,1,2,2,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,17794,,,,,,,705,,,,,17794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.244501,32.404904,,
Alabama A & M University,Alabama,35762,1,2,2,4796.244971,44321368,124593748,0.266726266,990,95,729,70,4928,42,4,1111,286,27,8812,792,76,6983,744,3948,7896,744,4514,9031,138956247,192661523,113050823,79610700,4982207,,,79610700,,,,533,219,17,,,,,,9,,9,769,396,0.330550918,1301,4496,4153,320,320,4473,343,511,511,854,4496,831,831,5327,9,19,4936,15,245,,8,95,48,1613,1190,893,233,66,49,41,16,4,,,,0,103,111,39,17,37,9,4,,48,1613,1190,996,344,105,66,78,25,8,,1,25,41,97,84,31,19,25,20,0,,,,1,83,148,85,57,84,52,1,,1,25,42,180,232,116,76,109,72,1,,5705,2273,3432,2696,1059,1637,1050,507,543,5705,2696,1042,8,16,19,15,20,15,18,380,470,400,470,314,73,6.546788204,4.566072028,1337,60739.4373,21.60023114,0.589118199,311,-86.57352,34.78422,,
University of Alabama at Birmingham,Alabama,35294-0110,1,1,1,13651.56008,139441181,2460168213,0.259748661,1274,85,456,30,4793,15,1,1339,846,57,5357,754,50,5727,872,4224,10560,680,4086,10224,2338666019,3325880887,1088903701,2236977186,94712019,,,2236977186,,,,1921,1297,129,358,,16,0,21,42,,42,3705,630,0.410691004,2723,10646,7938,3710,3710,11648,2708,2518,2518,5226,10646,6228,6228,16874,79,755,3527,286,10804,,687,736,91,2573,2639,1625,619,173,105,89,24,0,0,,,47,1424,1367,438,205,158,70,0,1,91,2573,2686,3049,1986,611,310,247,94,0,1,10,44,248,656,722,344,266,273,137,7,1,,,0,291,747,470,340,432,235,2,1,10,44,248,947,1469,814,606,705,372,9,2,4418,1857,2561,3692,1567,2125,1517,684,833,4418,3692,1497,20,21,27,21,28,19,26,500,650,480,630,2027,149,14.84811983,6.490100727,9785,80709.41707,55.54676503,0.695846207,832,-86.80446,33.50096,,
Amridge University,Alabama,36117-3553,2,2,2,529.884348,8306614,8215151,0.129230996,5,100,3,60,2704,0,0,,5,100,1770,3,60,7500,800,7200,7200,1200,10080,10080,8977221,6402708,394248,6008460,1496227,,,6008460,,1725046,2,91,48,0,11,,,,,,,,152,3,0.230769231,4,380,248,139,139,387,141,229,229,370,389,368,368,757,3,7,299,29,355,,64,0,,5,7,17,45,55,57,37,20,1,4,,,1,7,21,29,24,35,22,0,,,5,8,24,66,84,81,72,42,1,4,,0,2,8,24,30,29,29,18,0,1,,,0,4,33,36,39,60,56,1,,,0,2,12,57,66,68,89,74,1,1,8,1,7,7,1,6,7,1,6,8,7,7,0,,,,,,,,,,,40,37,7.548817049,6.98265577,118,32936.7,14.53147282,0.519480519,40,-86.171548,32.365021,,
University of Alabama in Huntsville,Alabama,35899,1,2,2,6085.222933,57539507,193994052,0.156558693,672,87,209,27,6505,16,2,1507,508,66,4847,331,43,5630,930,5580,13396,744,7286,17486,178466890,392381330,130385545,261995785,11969674,,,261995785,,,,933,364,28,10,,,,20,5,,5,1335,285,0.436447167,1682,6119,4640,444,444,5084,1479,1118,1118,2597,6119,1562,1562,7681,118,234,1014,163,5557,,176,419,49,1375,1521,996,389,143,77,75,15,0,,,,18,158,142,58,34,21,13,0,,49,1375,1539,1154,531,201,111,96,28,0,,45,70,168,407,358,143,102,139,42,5,,,,3,143,364,181,131,184,109,3,,45,70,171,550,722,324,233,323,151,8,,1924,999,925,1387,733,654,802,429,373,1924,1387,775,27,22,28,22,29,21,27,520,640,500,630,313,154,5.143607777,6.688333435,1666,74941.68317,20.31149908,0.434722222,303,-86.643936,34.723896,,
Alabama State University,Alabama,36101-0271,1,2,2,4941.444008,44733564,116489416,0.302024314,1076,89,880,73,5414,84,7,3839,397,33,5688,945,78,6281,852,5616,11232,852,6672,13344,135104796,340584940,204446635,136138305,18251367,,,136138305,,,,529,245,0,54,,,,,31,,31,828,273,0.239894552,1413,4638,4216,345,345,4561,422,581,581,1003,4638,926,926,5564,3,8,5319,18,154,0,33,29,35,1699,1368,788,176,75,28,32,15,0,,,0,2,94,126,53,25,30,15,0,,35,1699,1370,882,302,128,53,62,30,0,,0,16,63,115,83,43,35,41,25,1,,,1,0,37,154,118,100,101,68,2,,0,17,63,152,237,161,135,142,93,3,,8510,3574,4936,3936,1593,2343,1378,638,740,8510,3936,1329,49,15,18,13,19,15,17,360,450,360,440,241,167,4.877116883,3.379578919,1130,62467.59336,17.62642658,0.590686275,241,-86.296158,32.36623,,
University of Alabama System Office,Alabama,35401,1,-2,2,,,13361520,,,,,,,,,,,,,,,,,,,,,,12129524,15302027,2203052,13098975,106750,,,13098975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,-87.560429,33.213047,,
The University of Alabama,Alabama,35487-0166,1,2,2,26378.53837,337623787,867997390,0.162842537,3734,73,986,19,5273,34,1,732,2234,44,7241,2095,41,11650,0,7000,19200,0,7000,19200,760107259,2440182186,905840696,1534341490,53741237,,,1534341490,,,,4284,1287,167,213,,,,,52,,52,5951,2213,0.672644377,6487,23700,21738,3197,3197,24935,1962,1802,1802,3764,23700,4999,4999,28699,169,356,3368,599,23384,,6,817,150,9096,8373,3248,571,153,59,62,25,1,,,1,70,1406,940,346,181,169,84,,,150,9097,8443,4654,1511,499,240,231,109,1,,70,108,186,494,339,238,155,236,127,9,,,1,165,434,326,268,371,231,6,,,70,109,351,928,665,506,526,467,133,9,,18967,8339,10628,11133,4935,6198,5148,2363,2785,18967,11133,5128,20,21,28,21,29,20,27,500,620,490,620,1111,390,4.211757241,7.339299748,6912,77754.75678,17.02899508,0.364620939,1106,-87.54234,33.208811,,
Central Alabama Community College,Alabama,35010,1,2,2,1837.849196,7087200,18626311,0.084605768,540,91,381,64,5385,36,6,754,290,49,2877,158,27,5683,570,2130,4260,,,,25416186,33072641,10140149,22932492,1618974,,,22932492,,,236,,,,,8,52,,,,,,236,83,0.186936937,914,2441,1533,,,1533,908,,,908,2441,,,2441,7,5,650,16,1747,0,16,0,9,647,333,129,129,102,77,76,30,1,,,,,,,,,,,,,9,647,333,129,129,102,77,76,30,1,,112,81,142,104,118,115,88,104,41,3,,,,,,,,,,,,,112,81,142,104,118,115,88,104,41,3,,,,,,,,,,,,,,,,,,,,,,,,,56,203,3.047039992,11.04551997,354,53358.28571,7.073485696,0.216216216,56,-85.947875,32.924383,,
Athens State University,Alabama,35611,1,2,2,2365.206103,14834042,30791920,0.050165626,,,,,,,,,,,,,,,750,3600,7200,,,,30461849,47716277,20650652,27065625,1795613,,,27065625,,,,787,,,,,,,,,,,787,,,,3278,1590,,,1590,1921,,,1921,3511,,,3511,96,40,437,36,2825,10,60,7,,6,260,494,307,194,153,147,29,,,,,,,,,,,,,,,6,260,494,307,194,153,147,29,,,,2,58,248,431,311,316,394,161,,,,,,,,,,,,,,,2,58,248,431,311,316,394,161,,,,,,,,,,,,,,,,,,,,,,,,,,82,116,3.466928311,4.904435172,355,68440.09756,8.920998459,0.414141414,82,-86.967621,34.805512,,
